100830152,4.22222,9
101102043,4.78571,14
104434034,3.5,6
104559468,4.0,6
105441909,3.99167,120
107099445,4.33333,9
107354732,4.87654,81
107426821,3.84211,19
108218375,4.95556,45
108533339,4.44444,9
108553878,4.61111,36
109573938,4.28467,274
109739826,3.85294,102
110248972,4.9375,16
110373586,4.76817,289
110909162,5.0,15
110916650,4.72727,429
111065122,4.92236,5602
111067037,4.69999,10
111087911,4.78261,46
112553271,4.42856,7
113897927,4.33333,12
115594899,4.88397,7430
116073210,3.77419,31
116891255,4.5,40
117401115,4.22222,18
117635832,4.86585,82
117752146,4.75578,1082
117767585,3.6,10
118228641,3.2,10
118400323,4.88136,118
118678606,4.83552,152
118738312,4.19999,5
118745346,5.0,8
119192490,1.8,5
119331965,4.55556,9
119333074,4.23077,13
119534761,4.6875,32
119728465,4.56818,44
120315179,4.10246,244
120329020,4.11429,70
120703592,4.86667,15
120739129,5.0,5
120867842,4.82476,525
120906714,4.67469,83
120958274,3.07143,28
121018459,4.25,40
121290727,4.81818,11
121386314,3.80645,31
121393815,4.81034,464
121399650,4.32258,31
121493675,4.12069,176
121493688,4.94,50
121493804,4.70806,6707
121534955,4.65558,424
121534994,4.8,10
121896233,4.46154,13
122050220,4.0,8
122384595,4.04737,190
122527771,4.45454,77
122933215,4.0,6
123030854,4.75,12
123431012,4.27273,11
124559691,4.8,5
124686671,4.67292,639
124921198,4.72727,66
124960485,4.76305,2377
125849458,4.71999,25
127001405,4.33333,45
128290046,4.5,6
128362072,3.0,5
128699760,4.8,20
128749514,5.0,9
128836192,4.77876,226
128859062,4.78986,3079
128914532,5.0,18
128930569,4.64516,62
129062711,3.5,10
129278437,4.42856,7
129278483,4.18333,60
129406452,4.52174,23
129408992,5.0,8
129408998,4.38888,18
129468967,4.9,10
129562224,3.85714,7
129950199,4.85075,603
129950475,4.58824,17
129954085,5.0,13
130068469,4.14286,7
130068596,4.46774,62
131101639,4.71429,7
131595239,1.0,7
132610597,4.61702,47
133975014,4.89031,310
135049959,4.0,6
135057225,3.6,5
135057227,5.0,11
135067274,4.50714,704
135363982,4.79245,53
135576053,4.33333,6
136377040,3.9,10
136412073,3.77778,27
136624430,3.875,8
136642066,4.62189,402
136697669,4.68182,44
136749055,5.0,8
137090103,4.4661,118
137090483,4.29245,106
137254859,4.0275,3236
137334807,4.26887,1934
137699414,2.74603,1514
137986358,4.6,15
138674248,4.70169,295
140685432,4.375,24
141314256,4.0,11
142891498,4.82759,29
146501523,4.34042,47
146634205,4.85714,7
147247199,4.01154,1385
147904450,4.28571,14
148392991,3.83333,6
148453730,3.66667,9
149205922,4.78571,28
150892556,4.41301,569
151069789,3.44444,9
151230264,4.12778,363
151264606,4.6,5
151451644,4.96429,168
151557204,4.4,10
151869274,4.95454,22
151912263,1.5,6
152022135,4.13736,182
152147540,4.88888,9
152249110,4.83226,5922
152495361,4.74285,105
152564324,4.51995,752
152564333,4.52469,810
153006563,4.53659,41
153303552,4.71429,7
153572588,4.11111,36
153607292,4.33333,6
154093195,5.0,5
154114306,4.42856,7
154384362,4.38888,18
154482942,4.14286,7
154536992,5.0,14
154565680,3.0,7
154565710,4.77419,62
154802490,4.8,5
155725222,5.0,14
155974141,4.85144,2534
156005400,4.85714,7
156139247,4.34375,32
156274672,4.7993,284
157498820,3.55556,9
158004641,4.52698,1359
158639114,4.42856,14
159065675,4.5,18
159180029,4.83333,192
159601888,4.55556,9
159752078,3.85256,624
160184385,4.8,30
160256534,4.08219,219
160824549,3.71429,7
160875147,3.3799,408
160892972,4.48665,1011
160892972,4.48961,1011
160904630,4.24042,287
160993127,4.50673,451
161299116,4.8,10
162839165,4.83333,6
163924332,4.8,5
164924497,4.66667,30
165651862,4.81818,44
165762731,4.72093,43
165769988,4.5,8
167141358,4.55556,9
168362573,3.8,5
168365960,4.41667,12
168629182,3.69231,26
168860531,5.0,6
169189509,4.58824,17
169312808,5.0,10
170271930,4.53551,887
171426676,4.875,8
